title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,sentiment,genres_list
After the Wedding,movie,Drama,2019.0,tt7985692,6.3,9009.0,Neutral,['Drama']
Come Away,movie,"Adventure, Drama, Fantasy",2020.0,tt5714470,5.7,6116.0,Neutral,"['Adventure', 'Drama', 'Fantasy']"
The Christmas Chronicles,movie,"Adventure, Comedy, Family",2018.0,tt2990140,7.0,88964.0,High,"['Adventure', 'Comedy', 'Family']"
Herstory,movie,Drama,2018.0,tt8574212,6.8,279.0,Neutral,['Drama']
I'm Leaving Now,movie,Documentary,2018.0,tt4384500,6.6,128.0,Neutral,['Documentary']
Five Feet Apart,movie,"Drama, Romance",2019.0,tt6472976,7.2,90715.0,High,"['Drama', 'Romance']"
Camarón: Flamenco y revolución,movie,Documentary,2018.0,tt8067306,7.4,369.0,High,['Documentary']
Mama's Boy,movie,Comedy,2018.0,tt8665900,6.2,1655.0,Neutral,['Comedy']
Until We Fall,movie,"Drama, Mystery",2018.0,tt8047210,4.7,171.0,Low,"['Drama', 'Mystery']"
Overcomer,movie,"Drama, Family, Sport",2019.0,tt8186318,6.7,6102.0,Neutral,"['Drama', 'Family', 'Sport']"
2067,movie,"Mystery, Sci-Fi",2020.0,tt1918734,4.9,12369.0,Low,"['Mystery', 'Sci-Fi']"
Bizim Köyün Sarkisi,movie,"Comedy, Family",2018.0,tt8107882,5.9,816.0,Neutral,"['Comedy', 'Family']"
Müslüm,movie,"Biography, Drama, Music",2018.0,tt7832124,7.6,21044.0,High,"['Biography', 'Drama', 'Music']"
LasseMajas detektivbyrå - Det första mysteriet,movie,"Adventure, Family",2018.0,tt7408796,5.7,344.0,Neutral,"['Adventure', 'Family']"
What Did Jack Do?,movie,"Comedy, Crime, Drama",2017.0,tt11644096,6.4,16019.0,Neutral,"['Comedy', 'Crime', 'Drama']"
Aporia,movie,"Drama, Sci-Fi",2023.0,tt8511466,5.6,2422.0,Neutral,"['Drama', 'Sci-Fi']"
I Roslagens famn,movie,Musical,1945.0,tt0037804,5.0,69.0,Low,['Musical']
Dolemite Is My Name,movie,"Biography, Comedy, Drama",2019.0,tt8526872,7.2,66541.0,High,"['Biography', 'Comedy', 'Drama']"
