title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,sentiment,genres_list
Ariel,movie,"Comedy, Crime, Romance",1988.0,tt0094675,7.4,9138.0,High,"['Comedy', 'Crime', 'Romance']"
Shadows in Paradise,movie,"Comedy, Drama, Music",1986.0,tt0092149,7.4,7960.0,High,"['Comedy', 'Drama', 'Music']"
Forrest Gump,movie,"Drama, Romance",1994.0,tt0109830,8.8,2372595.0,High,"['Drama', 'Romance']"
American Beauty,movie,Drama,1999.0,tt0169547,8.3,1247006.0,High,['Drama']
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997.0,tt0119116,7.6,526206.0,High,"['Action', 'Adventure', 'Sci-Fi']"
Jarhead,movie,"Biography, Drama, War",2005.0,tt0418763,7.0,215242.0,High,"['Biography', 'Drama', 'War']"
Unforgiven,movie,"Drama, Western",1992.0,tt0105695,8.2,453511.0,High,"['Drama', 'Western']"
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004.0,tt0338013,8.3,1133941.0,High,"['Drama', 'Romance', 'Sci-Fi']"
Amores Perros,movie,"Drama, Thriller",2000.0,tt0245712,8.0,266629.0,High,"['Drama', 'Thriller']"
A History of Violence,movie,"Action, Crime, Drama",2005.0,tt0399146,7.4,263965.0,High,"['Action', 'Crime', 'Drama']"
Talk to Her,movie,"Drama, Mystery, Romance",2002.0,tt0287467,7.9,119861.0,High,"['Drama', 'Mystery', 'Romance']"
8 Mile,movie,"Drama, Music",2002.0,tt0298203,7.2,337508.0,High,"['Drama', 'Music']"
Paradise Now,movie,"Crime, Drama, Thriller",2005.0,tt0445620,7.4,24494.0,High,"['Crime', 'Drama', 'Thriller']"
Million Dollar Baby,movie,"Drama, Sport",2004.0,tt0405159,8.1,745115.0,High,"['Drama', 'Sport']"
Billy Elliot,movie,"Drama, Music",2000.0,tt0249462,7.7,147791.0,High,"['Drama', 'Music']"
American History X,movie,"Crime, Drama",1998.0,tt0120586,8.5,1228909.0,High,"['Crime', 'Drama']"
Mars Attacks!,movie,"Comedy, Sci-Fi",1996.0,tt0116996,6.4,251803.0,Neutral,"['Comedy', 'Sci-Fi']"
Before Sunrise,movie,"Comedy, Drama, Romance",1995.0,tt0112471,8.1,357946.0,High,"['Comedy', 'Drama', 'Romance']"
Memento,movie,"Mystery, Thriller",2000.0,tt0209144,8.4,1375752.0,High,"['Mystery', 'Thriller']"
Hero,movie,"Action, Adventure, Drama",2002.0,tt0299977,7.9,190589.0,High,"['Action', 'Adventure', 'Drama']"
Before Sunset,movie,"Drama, Romance",2004.0,tt0381681,8.1,301300.0,High,"['Drama', 'Romance']"
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984.0,tt0087544,8.0,190309.0,High,"['Adventure', 'Animation', 'Sci-Fi']"
Open Water,movie,"Adventure, Drama, Horror",2003.0,tt0374102,5.8,57840.0,Neutral,"['Adventure', 'Drama', 'Horror']"
Raiders of the Lost Ark,movie,"Action, Adventure",1981.0,tt0082971,8.4,1071938.0,High,"['Action', 'Adventure']"
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984.0,tt0087469,7.5,551114.0,High,"['Action', 'Adventure']"
Dirty Dancing,movie,"Drama, Music, Romance",1987.0,tt0092890,7.1,268764.0,High,"['Drama', 'Music', 'Romance']"
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989.0,tt0097576,8.2,836819.0,High,"['Action', 'Adventure']"
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984.0,tt0086960,7.4,223619.0,High,"['Action', 'Comedy', 'Crime']"
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987.0,tt0092644,6.6,143257.0,Neutral,"['Action', 'Comedy', 'Crime']"
Gladiator,movie,"Action, Adventure, Drama",2000.0,tt0172495,8.5,1754032.0,High,"['Action', 'Adventure', 'Drama']"
All About My Mother,movie,"Comedy, Drama, Romance",1999.0,tt0185125,7.8,106485.0,High,"['Comedy', 'Drama', 'Romance']"
Léon: The Professional,movie,"Action, Crime, Drama",1994.0,tt0110413,8.5,1299890.0,High,"['Action', 'Crime', 'Drama']"
Open Hearts,movie,"Drama, Romance",2002.0,tt0315543,7.5,11276.0,High,"['Drama', 'Romance']"
Taxi Driver,movie,"Crime, Drama",1976.0,tt0075314,8.2,975870.0,High,"['Crime', 'Drama']"
Run Lola Run,movie,"Action, Crime, Thriller",1998.0,tt0130827,7.6,213140.0,High,"['Action', 'Crime', 'Thriller']"
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985.0,tt0088763,8.5,1373807.0,High,"['Adventure', 'Comedy', 'Sci-Fi']"
Snatch,movie,"Comedy, Crime",2000.0,tt0208092,8.2,944148.0,High,"['Comedy', 'Crime']"
Scarface,movie,"Crime, Drama",1983.0,tt0086250,8.3,962400.0,High,"['Crime', 'Drama']"
Italian for Beginners,movie,"Comedy, Drama, Romance",2000.0,tt0243862,7.0,14177.0,High,"['Comedy', 'Drama', 'Romance']"
The Untouchables,movie,"Crime, Drama, Thriller",1987.0,tt0094226,7.8,342635.0,High,"['Crime', 'Drama', 'Thriller']"
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005.0,tt0367594,6.7,550060.0,Neutral,"['Adventure', 'Comedy', 'Family']"
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001.0,tt0120737,8.9,2102630.0,High,"['Adventure', 'Drama', 'Fantasy']"
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002.0,tt0167261,8.8,1868677.0,High,"['Adventure', 'Drama', 'Fantasy']"
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003.0,tt0167260,9.0,2072735.0,High,"['Adventure', 'Drama', 'Fantasy']"
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997.0,tt0119698,8.3,458845.0,High,"['Adventure', 'Animation', 'Fantasy']"
Spirited Away,movie,"Adventure, Animation, Family",2001.0,tt0245429,8.6,906835.0,High,"['Adventure', 'Animation', 'Family']"
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000.0,tt0190590,7.7,340867.0,High,"['Adventure', 'Comedy', 'Crime']"
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993.0,tt0107048,8.0,715055.0,High,"['Comedy', 'Drama', 'Fantasy']"
Bad Education,movie,"Crime, Drama",2004.0,tt0275491,7.4,64851.0,High,"['Crime', 'Drama']"
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001.0,tt0246578,8.0,880468.0,High,"['Drama', 'Mystery', 'Sci-Fi']"
Brokeback Mountain,movie,"Drama, Romance",2005.0,tt0388795,7.7,400241.0,High,"['Drama', 'Romance']"
Akira,movie,"Animation, Drama, Fantasy",1988.0,tt0094625,8.0,215252.0,High,"['Animation', 'Drama', 'Fantasy']"
48 Hrs.,movie,"Action, Comedy, Crime",1982.0,tt0083511,6.9,89509.0,Neutral,"['Action', 'Comedy', 'Crime']"
Lost in Translation,movie,"Comedy, Drama",2003.0,tt0335266,7.7,509921.0,High,"['Comedy', 'Drama']"
The Dark Knight,movie,"Action, Crime, Drama",2008.0,tt0468569,9.0,3012616.0,High,"['Action', 'Crime', 'Drama']"
Ocean's Eleven,movie,"Crime, Thriller",2001.0,tt0240772,7.7,644335.0,High,"['Crime', 'Thriller']"
Ocean's Twelve,movie,"Crime, Thriller",2004.0,tt0349903,6.5,425774.0,Neutral,"['Crime', 'Thriller']"
Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",1989.0,tt0096874,7.8,596655.0,High,"['Adventure', 'Comedy', 'Sci-Fi']"
Saw,movie,"Horror, Mystery, Thriller",2004.0,tt0387564,7.6,488411.0,High,"['Horror', 'Mystery', 'Thriller']"
Minority Report,movie,"Action, Crime, Mystery",2002.0,tt0181689,7.6,601345.0,High,"['Action', 'Crime', 'Mystery']"
Jackie Brown,movie,"Crime, Drama, Thriller",1997.0,tt0119396,7.5,389084.0,High,"['Crime', 'Drama', 'Thriller']"
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014.0,tt0458481,6.5,174536.0,Neutral,"['Action', 'Crime', 'Thriller']"
The Name of the Rose,movie,"Drama, Mystery, Thriller",1986.0,tt0091605,7.7,122482.0,High,"['Drama', 'Mystery', 'Thriller']"
Amélie,movie,"Comedy, Romance",2001.0,tt0211915,8.3,817146.0,High,"['Comedy', 'Romance']"
Back to the Future Part III,movie,"Adventure, Comedy, Sci-Fi",1990.0,tt0099088,7.5,499523.0,High,"['Adventure', 'Comedy', 'Sci-Fi']"
Saw III,movie,"Horror, Mystery, Thriller",2006.0,tt0489270,6.2,220739.0,Neutral,"['Horror', 'Mystery', 'Thriller']"
Saw II,movie,"Horror, Mystery",2005.0,tt0432348,6.6,287227.0,Neutral,"['Horror', 'Mystery']"
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008.0,tt0367882,6.2,502385.0,Neutral,"['Action', 'Adventure']"
Volver,movie,"Comedy, Drama",2006.0,tt0441909,7.6,110045.0,High,"['Comedy', 'Drama']"
Syriana,movie,"Drama, Thriller",2005.0,tt0365737,6.9,136341.0,Neutral,"['Drama', 'Thriller']"
Stand by Me,movie,"Adventure, Comedy, Drama",1986.0,tt0092005,8.1,463194.0,High,"['Adventure', 'Comedy', 'Drama']"
The Godfather,movie,"Crime, Drama",1972.0,tt0068646,9.2,2119235.0,High,"['Crime', 'Drama']"
The Godfather Part II,movie,"Crime, Drama",1974.0,tt0071562,9.0,1425748.0,High,"['Crime', 'Drama']"
In China They Eat Dogs,movie,"Action, Comedy, Crime",1999.0,tt0180748,7.3,23792.0,High,"['Action', 'Comedy', 'Crime']"
Ghost,movie,"Drama, Fantasy, Romance",1990.0,tt0099653,7.1,247432.0,High,"['Drama', 'Fantasy', 'Romance']"
Willy Wonka & the Chocolate Factory,movie,"Adventure, Comedy, Family",1971.0,tt0067992,7.8,236566.0,High,"['Adventure', 'Comedy', 'Family']"
King Kong,movie,"Action, Adventure, Romance",2005.0,tt0360717,7.2,458653.0,High,"['Action', 'Adventure', 'Romance']"
Live Flesh,movie,Drama,1997.0,tt0118819,7.3,34728.0,High,['Drama']
Batman,movie,"Action, Adventure",1989.0,tt0096895,7.5,418900.0,High,"['Action', 'Adventure']"
Batman Begins,movie,"Action, Crime, Drama",2005.0,tt0372784,8.2,1642773.0,High,"['Action', 'Crime', 'Drama']"
The Shawshank Redemption,movie,Drama,1994.0,tt0111161,9.3,3035835.0,High,['Drama']
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991.0,tt0103064,8.6,1229183.0,High,"['Action', 'Adventure', 'Sci-Fi']"
A River Runs Through It,movie,Drama,1992.0,tt0105265,7.2,67668.0,High,['Drama']
Terminator 3: Rise of the Machines,movie,"Action, Sci-Fi",2003.0,tt0181852,6.3,427824.0,Neutral,"['Action', 'Sci-Fi']"
Meet Joe Black,movie,"Drama, Fantasy, Romance",1998.0,tt0119643,7.2,281956.0,High,"['Drama', 'Fantasy', 'Romance']"
Ocean's Thirteen,movie,"Crime, Thriller",2007.0,tt0496806,6.9,376921.0,Neutral,"['Crime', 'Thriller']"
Swimming Pool,movie,"Crime, Drama, Mystery",2003.0,tt0324133,6.7,49921.0,Neutral,"['Crime', 'Drama', 'Mystery']"
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994.0,tt0109254,5.5,97383.0,Neutral,"['Action', 'Comedy', 'Crime']"
"Rome, Open City",movie,"Drama, Thriller, War",1945.0,tt0038890,8.0,31967.0,High,"['Drama', 'Thriller', 'War']"
Bruce Almighty,movie,"Comedy, Fantasy",2003.0,tt0315327,6.8,451834.0,Neutral,"['Comedy', 'Fantasy']"
Mystic River,movie,"Crime, Drama, Mystery",2003.0,tt0327056,7.9,503116.0,High,"['Crime', 'Drama', 'Mystery']"
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993.0,tt0107290,8.2,1116199.0,High,"['Action', 'Adventure', 'Sci-Fi']"
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997.0,tt0119567,6.6,458387.0,Neutral,"['Action', 'Adventure', 'Sci-Fi']"
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001.0,tt0163025,5.9,352183.0,Neutral,"['Action', 'Adventure', 'Sci-Fi']"
Once Upon a Time in the West,movie,"Drama, Western",1968.0,tt0064116,8.5,367214.0,High,"['Drama', 'Western']"
Night on Earth,movie,"Comedy, Drama",1991.0,tt0102536,7.7,68649.0,High,"['Comedy', 'Drama']"
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999.0,tt0120663,7.5,398205.0,High,"['Drama', 'Mystery', 'Thriller']"
Das Boot,movie,"Drama, War",1981.0,tt0082096,8.4,278733.0,High,"['Drama', 'War']"
Inside Man,movie,"Crime, Drama, Mystery",2006.0,tt0454848,7.6,411950.0,High,"['Crime', 'Drama', 'Mystery']"
A Fistful of Dollars,movie,"Drama, Western",1964.0,tt0058461,7.9,243289.0,High,"['Drama', 'Western']"
Chocolat,movie,"Drama, Romance",2000.0,tt0241303,7.2,206468.0,High,"['Drama', 'Romance']"
Basic Instinct,movie,"Drama, Mystery, Thriller",1992.0,tt0103772,7.1,231363.0,High,"['Drama', 'Mystery', 'Thriller']"
Driving Miss Daisy,movie,"Comedy, Drama",1989.0,tt0097239,7.3,120904.0,High,"['Comedy', 'Drama']"
Summer in Berlin,movie,Drama,2005.0,tt0477877,6.9,3038.0,Neutral,['Drama']
8½,movie,Drama,1963.0,tt0056801,8.0,129048.0,High,['Drama']
The Pianist,movie,"Biography, Drama, Music",2002.0,tt0253474,8.5,965743.0,High,"['Biography', 'Drama', 'Music']"
Schindler's List,movie,"Biography, Drama, History",1993.0,tt0108052,9.0,1518577.0,High,"['Biography', 'Drama', 'History']"
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004.0,tt0319262,6.5,496160.0,Neutral,"['Action', 'Adventure', 'Sci-Fi']"
La Dolce Vita,movie,"Comedy, Drama",1960.0,tt0053779,8.0,82390.0,High,"['Comedy', 'Drama']"
Sissi,movie,"Comedy, Drama, History",1955.0,tt0048624,7.0,10547.0,High,"['Comedy', 'Drama', 'History']"
Sissi: The Young Empress,movie,"Drama, History",1956.0,tt0049762,6.6,7696.0,Neutral,"['Drama', 'History']"
Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957.0,tt0050974,6.6,6290.0,Neutral,"['Drama', 'History', 'Romance']"
Erin Brockovich,movie,"Biography, Drama",2000.0,tt0195685,7.5,233560.0,High,"['Biography', 'Drama']"
As It Is in Heaven,movie,"Comedy, Drama, Music",2004.0,tt0382330,7.5,18704.0,High,"['Comedy', 'Drama', 'Music']"
My Own Private Idaho,movie,Drama,1991.0,tt0102494,6.9,64394.0,Neutral,['Drama']
Stranger Than Paradise,movie,"Comedy, Drama",1984.0,tt0088184,7.4,41994.0,High,"['Comedy', 'Drama']"
Shaft,movie,"Action, Crime, Thriller",2000.0,tt0162650,6.0,82909.0,Neutral,"['Action', 'Crime', 'Thriller']"
The African Queen,movie,"Adventure, Drama, Romance",1951.0,tt0043265,7.7,86669.0,High,"['Adventure', 'Drama', 'Romance']"
Good Will Hunting,movie,"Drama, Romance",1997.0,tt0119217,8.3,1133947.0,High,"['Drama', 'Romance']"
The Seventh Seal,movie,"Drama, Fantasy",1957.0,tt0050976,8.1,207840.0,High,"['Drama', 'Fantasy']"
The Green Mile,movie,"Crime, Drama, Fantasy",1999.0,tt0120689,8.6,1481378.0,High,"['Crime', 'Drama', 'Fantasy']"
Reservoir Dogs,movie,"Crime, Thriller",1992.0,tt0105236,8.3,1130003.0,High,"['Crime', 'Thriller']"
Poseidon,movie,"Action, Adventure, Thriller",2006.0,tt0409182,5.7,112964.0,Neutral,"['Action', 'Adventure', 'Thriller']"
Monster,movie,"Biography, Crime, Drama",2003.0,tt0340855,7.3,167580.0,High,"['Biography', 'Crime', 'Drama']"
Marnie,movie,"Crime, Drama, Mystery",1964.0,tt0058329,7.1,56077.0,High,"['Crime', 'Drama', 'Mystery']"
Love Actually,movie,"Comedy, Drama, Romance",2003.0,tt0314331,7.6,558138.0,High,"['Comedy', 'Drama', 'Romance']"
Notting Hill,movie,"Comedy, Drama, Romance",1999.0,tt0125439,7.2,364135.0,High,"['Comedy', 'Drama', 'Romance']"
One Flew Over the Cuckoo's Nest,movie,Drama,1975.0,tt0073486,8.7,1114131.0,High,['Drama']
Casino,movie,"Crime, Drama",1995.0,tt0112641,8.2,590782.0,High,"['Crime', 'Drama']"
Once Were Warriors,movie,"Crime, Drama",1994.0,tt0110729,7.9,38105.0,High,"['Crime', 'Drama']"
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009.0,tt0438488,6.5,385430.0,Neutral,"['Action', 'Adventure', 'Sci-Fi']"
Flashdance,movie,"Drama, Music, Romance",1983.0,tt0085549,6.2,61830.0,Neutral,"['Drama', 'Music', 'Romance']"
Psycho,movie,"Drama, Horror, Mystery",1960.0,tt0054215,8.5,750796.0,High,"['Drama', 'Horror', 'Mystery']"
D.E.B.S.,movie,"Action, Comedy, Romance",2004.0,tt0367631,5.4,18746.0,Low,"['Action', 'Comedy', 'Romance']"
Rashomon,movie,"Crime, Drama, Mystery",1950.0,tt0042876,8.2,188995.0,High,"['Crime', 'Drama', 'Mystery']"
Dogville,movie,"Crime, Drama",2003.0,tt0276919,8.0,163761.0,High,"['Crime', 'Drama']"
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002.0,tt0145487,7.4,920946.0,High,"['Action', 'Adventure', 'Sci-Fi']"
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004.0,tt0316654,7.5,744541.0,High,"['Action', 'Adventure', 'Sci-Fi']"
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007.0,tt0413300,6.3,667142.0,Neutral,"['Action', 'Adventure', 'Sci-Fi']"
Constantine,movie,"Action, Fantasy, Horror",2005.0,tt0360486,7.0,391279.0,High,"['Action', 'Fantasy', 'Horror']"
The Mummy,movie,"Action, Adventure, Fantasy",1999.0,tt0120616,7.1,481368.0,High,"['Action', 'Adventure', 'Fantasy']"
Apollo 13,movie,"Adventure, Drama, History",1995.0,tt0112384,7.7,325815.0,High,"['Adventure', 'Drama', 'History']"
The Birds,movie,"Drama, Horror, Mystery",1963.0,tt0056869,7.6,212566.0,High,"['Drama', 'Horror', 'Mystery']"
Next Door,movie,"Mystery, Thriller",2005.0,tt0453383,6.4,10909.0,Neutral,"['Mystery', 'Thriller']"
The Lives of Others,movie,"Drama, Mystery, Thriller",2006.0,tt0405094,8.4,426837.0,High,"['Drama', 'Mystery', 'Thriller']"
Monty Python's Life of Brian,movie,Comedy,1979.0,tt0079470,8.0,428535.0,High,['Comedy']
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003.0,tt0322259,5.9,309690.0,Neutral,"['Action', 'Crime', 'Thriller']"
Big Fish,movie,"Adventure, Drama, Fantasy",2003.0,tt0319061,8.0,468724.0,High,"['Adventure', 'Drama', 'Fantasy']"
Silent Hill,movie,"Horror, Mystery",2006.0,tt0384537,6.5,252236.0,Neutral,"['Horror', 'Mystery']"
The Da Vinci Code,movie,"Mystery, Thriller",2006.0,tt0382625,6.6,471757.0,Neutral,"['Mystery', 'Thriller']"
The Conversation,movie,"Drama, Mystery, Thriller",1974.0,tt0071360,7.7,130343.0,High,"['Drama', 'Mystery', 'Thriller']"
The Terminal,movie,"Comedy, Drama, Romance",2004.0,tt0362227,7.4,513023.0,High,"['Comedy', 'Drama', 'Romance']"
Titanic,movie,"Drama, Romance",1997.0,tt0120338,7.9,1336420.0,High,"['Drama', 'Romance']"
Full Metal Jacket,movie,"Drama, War",1987.0,tt0093058,8.2,820078.0,High,"['Drama', 'War']"
The Matrix,movie,"Action, Sci-Fi",1999.0,tt0133093,8.7,2150007.0,High,"['Action', 'Sci-Fi']"
The Matrix Reloaded,movie,"Action, Sci-Fi",2003.0,tt0234215,7.2,650885.0,High,"['Action', 'Sci-Fi']"
The Matrix Revolutions,movie,"Action, Sci-Fi",2003.0,tt0242653,6.7,559980.0,Neutral,"['Action', 'Sci-Fi']"
Out of Africa,movie,"Biography, Drama, Romance",1985.0,tt0089755,7.1,89410.0,High,"['Biography', 'Drama', 'Romance']"
Men in Black,movie,"Action, Adventure, Comedy",1997.0,tt0119654,7.3,638405.0,High,"['Action', 'Adventure', 'Comedy']"
Men in Black II,movie,"Action, Adventure, Comedy",2002.0,tt0120912,6.2,418217.0,Neutral,"['Action', 'Adventure', 'Comedy']"
Munich,movie,"Drama, History, Thriller",2005.0,tt0408306,7.5,246867.0,High,"['Drama', 'History', 'Thriller']"
Wild Strawberries,movie,"Drama, Romance",1957.0,tt0050986,8.1,120108.0,High,"['Drama', 'Romance']"
The Passion of the Christ,movie,Drama,2004.0,tt0335345,7.2,261290.0,High,['Drama']
Wild Things,movie,"Crime, Drama, Mystery",1998.0,tt0120890,6.6,136034.0,Neutral,"['Crime', 'Drama', 'Mystery']"
The Bodyguard,movie,"Drama, Music, Romance",1992.0,tt0103855,6.4,153677.0,Neutral,"['Drama', 'Music', 'Romance']"
Ghostbusters,movie,"Action, Comedy, Fantasy",1984.0,tt0087332,7.8,469667.0,High,"['Action', 'Comedy', 'Fantasy']"
Grease,movie,"Comedy, Musical, Romance",1978.0,tt0077631,7.2,313754.0,High,"['Comedy', 'Musical', 'Romance']"
The Ninth Gate,movie,"Mystery, Thriller",1999.0,tt0142688,6.7,204177.0,Neutral,"['Mystery', 'Thriller']"
Easy Rider,movie,"Adventure, Drama",1969.0,tt0064276,7.2,120343.0,High,"['Adventure', 'Drama']"
Interview with the Vampire,movie,"Drama, Fantasy, Horror",1994.0,tt0110148,7.5,361865.0,High,"['Drama', 'Fantasy', 'Horror']"
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001.0,tt0243155,6.8,277567.0,Neutral,"['Comedy', 'Drama', 'Romance']"
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997.0,tt0118799,8.6,776298.0,High,"['Comedy', 'Drama', 'Romance']"
Boyz n the Hood,movie,"Crime, Drama",1991.0,tt0101507,7.8,161838.0,High,"['Crime', 'Drama']"
Troy,movie,"Action, Adventure, Drama",2004.0,tt0332452,7.3,592279.0,High,"['Action', 'Adventure', 'Drama']"
Saw IV,movie,"Horror, Mystery, Thriller",2007.0,tt0890870,5.9,170987.0,Neutral,"['Horror', 'Mystery', 'Thriller']"
Central Station,movie,Drama,1998.0,tt0140888,8.0,47757.0,High,['Drama']
Oldboy,movie,"Action, Drama, Mystery",2003.0,tt0364569,8.3,676762.0,High,"['Action', 'Drama', 'Mystery']"
Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",2001.0,tt0241527,7.7,901925.0,High,"['Adventure', 'Family', 'Fantasy']"
Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",2002.0,tt0295297,7.4,727528.0,High,"['Adventure', 'Family', 'Fantasy']"
Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",2004.0,tt0304141,7.9,727389.0,High,"['Adventure', 'Family', 'Fantasy']"
Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",2005.0,tt0330373,7.7,715691.0,High,"['Adventure', 'Family', 'Fantasy']"
Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",2007.0,tt0373889,7.5,664672.0,High,"['Action', 'Adventure', 'Family']"
Pulp Fiction,movie,"Crime, Drama",1994.0,tt0110912,8.9,2328913.0,High,"['Crime', 'Drama']"
Meet the Fockers,movie,"Comedy, Romance",2004.0,tt0290002,6.3,295033.0,Neutral,"['Comedy', 'Romance']"
The Piano,movie,"Drama, Music, Romance",1993.0,tt0107822,7.5,98224.0,High,"['Drama', 'Music', 'Romance']"
Together,movie,"Comedy, Drama, Romance",2000.0,tt0203166,7.4,25030.0,High,"['Comedy', 'Drama', 'Romance']"
Top Gun,movie,"Action, Drama",1986.0,tt0092099,7.0,526515.0,High,"['Action', 'Drama']"
The Last Emperor,movie,"Biography, Drama, History",1987.0,tt0093389,7.7,115695.0,High,"['Biography', 'Drama', 'History']"
Shaun of the Dead,movie,"Comedy, Horror",2004.0,tt0365748,7.9,618034.0,High,"['Comedy', 'Horror']"
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005.0,tt0434409,8.1,1213053.0,High,"['Action', 'Drama', 'Sci-Fi']"
Monty Python and the Holy Grail,movie,"Adventure, Comedy, Fantasy",1975.0,tt0071853,8.2,586708.0,High,"['Adventure', 'Comedy', 'Fantasy']"
The Evil Dead,movie,Horror,1981.0,tt0083907,7.4,242103.0,High,['Horror']
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009.0,tt0417741,7.6,626329.0,High,"['Action', 'Adventure', 'Family']"
Goodfellas,movie,"Biography, Crime, Drama",1990.0,tt0099685,8.7,1321619.0,High,"['Biography', 'Crime', 'Drama']"
Gandhi,movie,"Biography, Drama, History",1982.0,tt0083987,8.0,243789.0,High,"['Biography', 'Drama', 'History']"
Kolya,movie,"Comedy, Drama, Music",1996.0,tt0116790,7.7,16575.0,High,"['Comedy', 'Drama', 'Music']"
Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",2005.0,tt0356910,6.5,566295.0,Neutral,"['Action', 'Comedy', 'Crime']"
Closely Watched Trains,movie,"Comedy, Drama, Romance",1966.0,tt0060802,7.6,14413.0,High,"['Comedy', 'Drama', 'Romance']"
The Fog,movie,"Horror, Mystery",2005.0,tt0432291,3.7,40268.0,Low,"['Horror', 'Mystery']"
City of Angels,movie,"Drama, Fantasy, Romance",1998.0,tt0120632,6.7,131340.0,Neutral,"['Drama', 'Fantasy', 'Romance']"
Persona,movie,"Drama, Thriller",1966.0,tt0060827,8.0,135932.0,High,"['Drama', 'Thriller']"
Roman Holiday,movie,"Comedy, Drama, Romance",1953.0,tt0046250,8.0,152635.0,High,"['Comedy', 'Drama', 'Romance']"
Se7en,movie,"Crime, Drama, Mystery",1995.0,tt0114369,8.6,1905139.0,High,"['Crime', 'Drama', 'Mystery']"
Shrek,movie,"Adventure, Animation, Comedy",2001.0,tt0126029,7.9,771518.0,High,"['Adventure', 'Animation', 'Comedy']"
Shrek 2,movie,"Adventure, Animation, Comedy",2004.0,tt0298148,7.4,530064.0,High,"['Adventure', 'Animation', 'Comedy']"
Shrek the Third,movie,"Adventure, Animation, Comedy",2007.0,tt0413267,6.1,346795.0,Neutral,"['Adventure', 'Animation', 'Comedy']"
Austin Powers: International Man of Mystery,movie,"Adventure, Comedy",1997.0,tt0118655,7.0,265547.0,High,"['Adventure', 'Comedy']"
Austin Powers: The Spy Who Shagged Me,movie,"Action, Adventure, Comedy",1999.0,tt0145660,6.7,255864.0,Neutral,"['Action', 'Adventure', 'Comedy']"
Underworld: Evolution,movie,"Action, Fantasy, Thriller",2006.0,tt0401855,6.7,213757.0,Neutral,"['Action', 'Fantasy', 'Thriller']"
Barren Lives,movie,Drama,1963.0,tt0057654,7.5,3157.0,High,['Drama']
Close Encounters of the Third Kind,movie,"Drama, Sci-Fi",1977.0,tt0075860,7.6,225046.0,High,"['Drama', 'Sci-Fi']"
Dune,movie,"Action, Adventure, Sci-Fi",1984.0,tt0087182,6.3,187724.0,Neutral,"['Action', 'Adventure', 'Sci-Fi']"
In the Mood for Love,movie,"Drama, Romance",2000.0,tt0118694,8.1,176589.0,High,"['Drama', 'Romance']"
2046,movie,"Drama, Romance, Sci-Fi",2004.0,tt0212712,7.4,63746.0,High,"['Drama', 'Romance', 'Sci-Fi']"
Enemy at the Gates,movie,"Action, Drama, War",2001.0,tt0215750,7.5,285461.0,High,"['Action', 'Drama', 'War']"
